"15. Juli 2025",2025-07-15,2025-07-15,,,"Ein weiterer Hilfstransport für Mannheims Partnerstadt Czernowitz in der Ukraine startet. Erstmals war in den Tagen zuvor Czernowitz direktes Ziel eines russischen Angriffs geworden. Dabei kamen mindestens zwei Menschen ums Leben, 14 weitere wurden teils schwer verletzt. Mehrere Gebäude wurden beschädigt. ","1.5 Ausland Europa","2025-07-18: Pressedienst"
"18. Juli 2025",2025-07-18,2025-07-18,,,"Das Planetarium zeigt nach dem Abschluss der Modernisierung seiner Technik zur Eröffnung die neue Show „Unendliche Weiten — Astronomie für Einsteiger”.","3.1 Bildungswesen Allgemein","2025-07-19: Rhein-Neckar-Zeitung"
"22. Juli 2025",2025-07-22,2025-07-22,,,"Die Kunsthalle stellt seine neue Kuratorin Eva-Maria Höllerer vor, die am 15. Oktober 2025 die Nachfolge der in Ruhestand gehenden Kuratorin Inge Herold antreten soll. Die Kunsthistorikerin ist derzeit am Städel in Frankfurt beschäftigt. ","13.1 Personelles Amtseinführungen","2025-07-23: Mannheimer Morgen"
"22. Juli 2025",2025-07-22,2025-07-22,,,"Die Stadt gibt bekannt, dass ab 19. September 2025 die Ausstellung „House of Banksy Mannheim – An Unauthorized Exhibition“ erstmals in Mannheim in N 7, 6 (ehem. Saturn) zu sehen sein wird.","11.2.1 Kunst und Kultur bildende Kunst Malerei","2025-07-23: Mannheimer Morgen"
"23. Juli 2025",2025-07-23,2025-07-23,,,"Kämmerer Volker Proffen (CDU) legt in der Sitzung des Hauptausschusses die schwierige Finanzlage der Stadt offen. Voraussichtlich sind die Gewerbesteuereinnahmen in diesem Jahr 90 Millionen Euro weniger sind als geplant. Gleichzeitig steigen auch die Ausgaben, insbesondere für die Schaffung von Kita-Plätzen. Deshalb ist bis zum Jahresende mit einem Minus von rund 196 Millionen Euro zu rechnen.","14.4 Politik und Verwaltung Verwaltung","2025-07-24: Mannheimer Morgen"
"25. Juli 2025",2025-07-25,2025-07-25,,,"Oberbürgermeister Christian Specht eröffnet zusammen mit Erster Bürgermeisterin Prof. Dr. Diana Pretzell und Bürgermeister Ralf Eisenhauer den neuen Habichtplatz in Käfertal. Die Stadt hat den Platz seit November letzten Jahres entsiegelt und neu begrünt.","2.5.2 Bauwesen Tiefbau Plätze","2025-07-25: Pressedienst"
"26. Juli 2025",2025-07-26,2025-07-26,,,"„MONNEM BIKE – Das Festival“ findet zum ersten Mal auf Spinelli statt.","20.4 Verkehrswesen Straße","2025-07-27: Mannheimer Morgen"
"22. Juli 2025",2025-07-22,2025-07-22,2025-07-31,,"Auf dem Almenhof wird das neue Kinderhaus Maria und Josef eröffnet. Das siebengruppige Haus vereint die bisherigen Kindergärten Maria Hilf und St. Josef, ergänzt um zwei Krippengruppen sowie ein städtisches Eltern-Kind-Zentrum.","16.2.4 Sozialwesen Familie Kinder","2025-07-31: Mannheimer Morgen"
"29. Juli 2025",2025-07-29,2025-07-29,2025-07-31,,"Die Stadt investiert weiter in den Ausbau der Kindertagesbetreuung. Trotz der extrem angespannten Haushaltslage gibt der Gemeinderat dafür 17,5 Mio. Euro zusätzlich frei.","16.2.4 Sozialwesen Familie Kinder","2025-07-31: Rhein-Neckar-Zeitung, 2025-07-29: Stadt Mannheim"
"30. Juli 2025",2025-07-30,2025-07-30,,,"Nach den Beschlüssen des baden-württembergischen Ministerrats zum Verbund der Universitätsklinika Heidelberg und Mannheim besucht Petra Olschowski, Ministerin für Wissenschaft, Forschung und Kunst Baden-Württemberg, die beiden Klinika. ","9.3.2 Gesundheitswesen Krankheit Krankenhäuser","2025-07-29: Pressedienst"
"31. Juli 2025",2025-07-31,2025-07-31,,,"Die neue LED-Flutlichtanlage im Carl-Benz-Stadion wird in Betrieb genommen.","17.1 Sport Allgemein","2025-07-31: Pressedienst"
"02. August 2025",2025-08-02,2025-08-02,2025-08-04,,"Auf dem Alten Messplatz wird das Riesenrad ""City-Star"" in Betrieb genommen. Bis 31. August können die Fahrgäste ca. 15 Minuten lang auf bis zu 70 Meter Höhe in 48 klimatisierten Gondeln die Stadt von oben betrachten. ","7.1 Freizeit Allgemein","2025-08-04: Mannheimer Morgen, 2025-08-04: Rhein-Neckar-Zeitung, 2025-08-04: Die Rheinpfalz"
"08. August 2025",2025-08-08,2025-08-08,,,"Auf dem Schrottplatz eines Recyclingunternehmens im Industriehafen bricht ein Großbrand aus. Bis zu 100 Feuerwehrleute sind im Einsatz, der Brandgeruch ist teilweise bis nach Frankfurt am Main wahrnehmbar. Verletzt wird niemand. ","19.3 Umwelt Feuer","2025-08-09: Rhein-Neckar-Zeitung"
"09. August 2025",2025-08-09,2025-08-09,,,"Oberbürgermeister Christian Specht besucht die Gedenkfeiern zur Erinnerung an die Atombombenabwürfe vor 80 Jahren in Hiroshima und Nagasaki. In Nagasaki hält er eine Rede zum Thema „Transmitting War Memories“. Specht ist Mitglied der internationalen Bürgermeister-Vereinigung „Mayors for Peace“. ","1.4 Ausland Asien","2025-08-08: Mannheimer Morgen"
"05. August 2025",2025-08-05,2025-08-05,,,"Für das Jugendprojekt „Sommer ohne Krieg“ kommen 14 ukrainische Kinder und Jugendliche zwischen 12 und 15 Jahren aus Czernowitz nach Mannheim. Sie besuchen für zwei Wochen ihre deutsche Partnerstadt mit dem Ziel, eine unbeschwerte Zeit in Sicherheit verbringen zu können.","1.5 Ausland Europa","2025-08-05: Pressedienst"
"11. August 2025",2025-08-11,2025-08-11,,,"Die Stadt gibt bekannt, dass sie zum dritten Mal in Folge von der gemeinnützigen Umweltorganisation Carbon Disclosure Project (CDP) mit der bestmöglichen Bewertung in die sogenannte „A-List“ aufgenommen wurde. Die CDP prämiert Unternehmen und Städte für besonders transparente Klimabilanzierungen und Klimaschutzmaßnahmen. Weltweit wurden 2024 fast 1.000 Städte bewertet, davon schafften es lediglich 112 Städte in die „A-List“.","19.1 Umwelt Allgemein","2025-08-11: Pressedienst"
"11. August 2025",2025-08-11,2025-08-11,2025-08-12,,"Der SV Waldhof 07 stellt nach nur zwei Spieltagen der aktuellen Saison den Cheftrainer Dominik Glawogger frei.","17.2 Sport Sportarten","2025-08-12: Mannheimer Morgen, 2025-08-12: Die Rheinpfalz, 2025-08-12: Rhein-Neckar-Zeitung"
"12. August 2025",2025-08-12,2025-08-12,2025-08-13,,"Der SV Waldhof verpflichtet nur einen Tag nach der Entlassung des bisheirgen Cheftrainers den 56-jährigen Luc Holtz als Coach. Holtz war zuletzt als Nationaltrainer von Luxemburg tätig.","17.2 Sport Sportarten","2025-08-13: Mannheimer Morgen, 2025-08-13: Rhein-Neckar-Zeitung"
"08. August 2025",2025-08-08,2025-08-08,2025-08-14,,"Die Stadtverwaltung stellt eine neue Sachbearbeiterin für den Bereich Zwangsprostition und Gewalt ein. Ab Oktober wird Lena Dunio-Özkan, zuletzt Gleichstellungsbeauftrage in Speyer, das Team der Gleichstellungsstelle Mannheim ergänzen und die verschiedenen Aktivitäten koordinieren.","14.4.2 Politik und Verwaltung Verwaltung Ämter","2025-08-12: Mannheimer Morgen"
"14. August 2025",2025-08-14,2025-08-14,2025-08-14,,"Angesichts der aktuellen Hitzewelle mit bis zu 37 Grad und einer ARD-Dokumentation zur Hitze in Mannheim werden Maßnahmen zum Hitzeschutz wie Sprühnebelanlagen und Fassadenbegrünungen diskutiert. Nach dem Index der Deutschen Umwelthilfe sind die Menschen in Mannheim bundesweit am stärksten von Hitze betroffen. ","19.4.2 Umwelt Luft Wetter","2025-08-14: Mannheimer Morgen"
"18. August 2025",2025-08-18,2025-08-18,2025-08-19,,"Das Gastronetzwerk Innenstadt wird gegründet. Die derzeit 23 beteiligten Gastronomen werden vom Beauftragten für Nachtökonomie der Stadt, Robert Gaa, unterstützt. Das Leitbild des Zusammenschlusses zielt auf eine lebenswerte Innenstadt mit einer aufstrebenden Gastronomie ab.","21.10 Wirtschaft Gastronomie","2025-08-19: Mannheimer Morgen"
"19. August 2025",2025-08-19,2025-08-19,2025-08-21,,"Der Landesgesundheitsminister Manne Lucha besucht im Rahmen seiner Sommertour das Gesundheitscafé Schönau.","9.2 Gesundheitswesen Gesundheit","2025-08-20: Mannheimer Morgen, 2025-08-14: Stadt Mannheim"
"18. August 2025",2025-08-18,2025-08-18,2025-08-21,,"Anton Meinzer wird ab 1. September neuer Leiter des städtischen Leihauses und Nachfolger von Jürgen Rackwitz, der sich in den Ruhestand verabschiedet. Meinzer ist bereits seit 13 Jahren als Betriebsleiter und seit 2024 als kaufmännischer Leiter und Prokurist in der ältesten und einzigen öffentlich-rechtlichen Pfandleihe Deutschland tätig.","14.4.2 Politik und Verwaltung Verwaltung Ämter","2025-08-20: Mannheimer Morgen, 2025-08-18: Stadt Mannheim, 2025-08-20: Rhein-Neckar-Zeitung, 2025-08-20: Die Rheinpfalz"
"07. Juli 2025",2025-08-07,2025-08-07,2025-08-25,,"Erstmals vergeben die Heinrich-Vetter-Stiftung und das städtische Kulturamt den ""Mannheimer Midcareer Award für Bildende Kunst"" an den Michael Volkmer. Der mit 10.000 Euro dotierte Preis wird künftig alle vier Jahre an Künstler*innen vergeben, die bereits lange Jahre mit ihrer künstlerischen Arbeit in der Metropolregion wirken.","11.2 Kunst und Kultur Bildende Kunst","2025-08-21: Amtsblatt, 2025-07-07: Stadt Mannheim"
"15. August 2025",2025-08-15,2025-08-15,2025-08-25,,"Oberbürgermeister Christian Specht und die Stadtverwaltung sichern dem seit März in Haft sitzenden Bürgermeister von Beyoglu, Inan Güney, Unterstützung zu. Ein Brief von Specht an Beyoglu und Kontakte zur Stadtverwaltung im Rahmen der Städtepartnerschaft mit dem Stadtbezirk von Istanbul sollen dazu beitragen, dass die Zusammenarbeit trotz schwieriger Bedingungen fortgesetzt werden kann.","14.3 Politik und Verwaltung Politik allgemein","2025-08-25: Mannheimer Morgen, 2025-08-15: Stadt Mannheim"
"26. August 2025",2025-08-26,2025-08-26,2025-08-26,,"Karl F. Mayer, Gründer des Stadtfeuerwehrverbands, wird 75 Jahre alt. Mayer setze sich unter anderem für eine eigenen Mannheimer Leitstelle, die Anschaffung eines Feuerlöschboots, die Sanierung von Feuerwachen und für eine Aufwandsentschädigung für freiwillige Feuerwehrleute ein.","13.3 Personelles Geburtstage","2025-08-26: Mannheimer Morgen"
"24. August 2025",2025-08-24,2025-08-24,2025-08-26,,"Denis Reul beendet nach mehr als 15 Profijahren seine Karriere bei den Adlern Mannheim. Deuls Rückennummer 29 wird ihm zu Ehren in Zukunft nicht mehr vergeben, sondern zu den anderen Vereinslegenden unter das Hallendach der SAP Arena ziehen.","13.5 Personelles Verabschiedung","2025-08-25: Mannheimer Morgen"
"25. August 2025",2025-08-25,2025-08-25,2025-08-28,,"Die Stadt wird den Badebetrieb im sanierungsbedürftigen Herschelbad mit der Inbetriebnahme des Kombibads Herzogenried 2026 einstellen. Oberbürgermeister Christian Specht begründet die Entscheidung mit der Attraktivität des neuen Kombibads und Personalknappheit.","7.1 Freizeit Allgemein","2025-08-27: Mannheimer Morgen"
"02. September 2025",2025-09-02,2025-09-02,2025-09-01,,"Zum 20. Jubiläum der Eröffnung der SAP-Arena zieht Geschäftsführer Daniel Hopp eine durchweg positive Bilanz. Viele internationale und nationale Stars gastierten in der Mulitfunktionshalle, die auch von den Adlern Mannheim und den Rhein-Neckar-Löwen  für ihre Heimspiele genutzt wird.","5.2 Feier-, Fest-, Gedenktage Jubiläen","2025-08-28: Mannheimer Morgen, : "
"15. August 2025",2025-08-15,2025-08-15,2025-09-01,,"Horst Schmelcher, Träger der Bundesverdienstkreuzes und einer der wichtigsten Repräsentanten der katholischen Kirche in Mannheim, stirbt im Alter von 84 Jahren. Schmelcher war von 1990 bis 2005 Vorsitzender des Mannheimer Dekanatsrats und von 2000 bis 2010 Mitglied des Zentralrats der deutschen Katholiken.","13.4 Personelles Todestage","2025-08-29: Mannheimer Morgen"
"28. August 2025",2025-08-28,2025-08-28,2025-09-01,,"Der Sensorhersteller Pepperl+Fuchs schließt die Produktion am Stammsitz Mannheim bis Mitte 2027 und verlagert sie an Standorte im Ausland. Es werden 80 bis 90 Arbeitsplätze wegfallen, die Forschungs- und Entwicklungsbereiche bleiben bestehen.","21.8.4 Wirtschaft Industrie Metall","2025-08-29: Mannheimer Morgen, 2025-08-30: Mannheimer Morgen, 2025-08-29: Rhein-Neckar-Zeitung, 2025-08-30: Die Rheinpfalz"
"31. August 2025",2025-08-31,2025-08-31,2025-09-02,,"Der Franklin-Steg, eine 45 Meter lange Fußgänger- und Radfahrerbrücke zwischen Vogelstang und Franklin über die B 38 wird installiert. Für die Arbeiten an den mehr als 80 Tonnen schweren Brückenteilen aus Carbonbeton und Holz wird die Bundestraße für mehrere Stunden gesperrt.","2.5.1 Bauwesen Tiefbau Brücken","2025-09-01: Mannheimer Morgen, 2025-09-01: Rhein-Neckar-Zeitung"
"01. September 2025",2025-09-01,2025-09-01,2025-09-04,,"Altstadtrat Richard Karl stirbt im Alter von 87 Jahren. Der als ""Bauer Karl"" bekannte CDU-Politiker saß von 1994 bis 2014 im Stadtparlament. Er engagierte sich in verschiedenen Vereinen und Verbänden, insbesondere für den Naturschutz und die Landwirtschaft. Karl war Träger der Bürgermedaille in Silber der Stadt Mannheim und erhielt 2014 das Bundesverdienstkreuz am Bande des Verdienstordens der Bundesrepublik Deutschland.","13.4 Personelles Todestage","2025-09-03: Mannheimer Morgen, : "
"04. September 2025",2025-09-04,2025-09-04,,,"Ministerpräsident Winfried Kretschmann besichtigte im Rahmen seiner Sommertour die Flusswärmepumpe im Großkraftwerk.","4.1 Energieversorgung Allgemein","2025-09-08: Rhein-Neckar-Zeitung"
"06. September 2025",2025-09-06,2025-09-06,2025-09-09,,"Im Rahmen des Uni-Fests mit einem vielfältigen Programm aus Sport, Wissenschaft und Musik unter dem Motto ""Zusammen. Forschung. Feiern"" werden im Schloss die Erstsemester von Rektor Thomas Fetzer und Oberbürgermeister Christian Specht sbegrüßt.","3.8 Bildungswesen Universitäten u. Fachhochschulen","2025-09-09: Mannheimer Morgen"
